aah	a cry of delight
mink	a small fur-bearing animal
minnow	a small freshwater fish
minors	people under legal adult age
minster	a large important church
minstrel	a traveling medieval singer
mint	in perfect unused condition
mintage	coins produced by a mint
minter	a maker of coins
minty	tasting of mint
minuet	a slow formal dance
minus	lacking or without something
minuscule	extremely tiny
minutely	in great detail
minutia	a small unimportant detail
minx	a bold flirtatious girl
miracle	an amazing wonderful event
miraculous	seeming like a miracle
miraculously	in an amazing unexpected way
mirage	a heat-caused false image
mire	deep mud or swamp
mired	stuck in difficulty
miro	a small native tree
mirrored	reflecting like a mirror
mirth	laughter and merriment
mirza	a nobleman's title
misadventure	an unlucky accident
misalignment	being out of proper position
misanthrope	someone who dislikes people
misanthropic	disliking people in general
misanthropy	a dislike of people
misapprehension	a mistaken understanding
misappropriated	stolen for wrong use
misappropriation	wrongful use of something
misbehave	to act badly
misbehavior	bad or improper behavior
misbehaviour	bad or improper behavior
miscalculation	a wrong calculation
miscarriage	early pregnancy loss
miscarry	to fail or go wrong
miscast	choosing the wrong actor
miscegenation	mixing of different races
miscellaneous	made up of various things
miscellany	a mixed collection of things
mischief	playful troublemaking
mischievous	fond of playful trouble
mischievously	in a playfully naughty way
misconception	a mistaken belief
misconduct	improper or bad behavior
misconstrue	to misunderstand someone's meaning
miscreant	a person who behaves badly
misdemeanor	a minor crime
misdemeanour	a minor crime
misdirect	to guide the wrong way
misdirection	guiding attention the wrong way
miser	someone who hoards money
miserable	very unhappy
miserably	in an unhappy way
miserly	stingy with money
misery	great unhappiness or suffering
misfire	a failed attempt or shot
misfit	someone who doesn't fit in
misfortune	bad luck
misguided	based on a wrong idea
mishap	a small unlucky accident
mishmash	a confused mixture
misinformation	false information
misinterpret	to understand wrongly
misinterpretation	a wrong understanding
misjudge	to judge wrongly
mislabeled	given the wrong label
mislaid	put somewhere and lost
mislead	to give a false impression
misleading	giving a false impression
misleadingly	in a way that deceives
mismanagement	poor handling of something
mismatch	a poor pairing of things
mismatched	not matching properly
misnomer	a wrong or misleading name
miso	a fermented soybean paste
misogynist	a person who hates women
misogynistic	showing hatred of women
misogyny	hatred of women
misplace	to lose track of
misplaced	put in the wrong place
misprint	a printing error
misquote	a wrongly repeated statement
misread	to read incorrectly
misreading	an incorrect reading
misrepresent	to describe falsely
misrepresentation	a false description
misrepresented	falsely described
misrule	bad or unjust governing
missal	a book of church prayers
misshapen	badly or oddly shaped
missile	a target-flying weapon
missionary	spreading religious belief
missive	a letter or message
misspell	to spell incorrectly
misspelling	an incorrect spelling
misstep	a wrong or careless move
missus	a wife
missy	a young girl, addressed casually
mist	a thin fog
mistaken	wrong or incorrect
mistakenly	by mistake
mistaking	confusing one thing for another
mistletoe	a plant used at christmas
mistral	a strong cold wind
mistranslation	an incorrect translation
mistreat	to treat badly
mistreated	treated badly
mistreatment	bad or cruel treatment
mistress	a woman in an affair
mistrial	a trial declared invalid
mistrust	a lack of trust
mistrustful	feeling suspicious
misty	covered in thin fog
misunderstand	to get the wrong meaning
misunderstanding	a mistaken interpretation
misunderstood	interpreted incorrectly
misuse	improper or wrong use
misused	used improperly
mite	a tiny insect-like creature
miter	an angled joint between pieces
mitigate	to make less severe
mitigated	made less severe
mitigation	the lessening of harm
mitogen	a substance causing cell division
mitosis	division of a cell's nucleus
mitotic	relating to cell division
mitral	relating to a heart valve
mitre	an angled joint between pieces
mitt	a padded glove
mitten	a one-finger hand covering
mitzvah	a good deed or commandment
mixer	a device that blends things
mixing	combining things together
mixologist	a skilled cocktail maker
mixology	the art of making cocktails
mixture	a combination of things
mizzen	a ship's rear sail
mnemonic	helping you remember something
mnemonics	memory aid techniques
moa	an extinct flightless bird
moan	a low sound of pain
moat	a ditch around a castle
mob	a disorderly crowd
mobilisation	gathering resources for action
mobilise	to organize for action
mobility	ability to move freely
mobilization	gathering resources for action
mobilize	to organize for action
mobster	a member of organized crime
moccasin	a soft flat shoe
mocha	a coffee and chocolate drink
mock	fake or imitation
mockery	ridicule or contempt
mocking	making fun of someone
mockingbird	a bird that imitates sounds
mockingly	in a scornful teasing way
mod	fashionably modern
modal	relating to mode or possibility
modality	a particular method or form
modeled	shaped or represented
modeler	someone who builds models
modeling	shaping or representing
modelled	shaped or represented
modeller	someone who builds models
modelling	shaping or representing
modem	an internet-connecting device
moderate	medium in degree
moderately	to a medium degree
moderating	making less extreme
moderation	avoiding excess
moderator	someone who oversees a discussion
moderne	stylishly modern in design
modernisation	the process of updating something
modernise	to make more modern
modernised	made more modern
modernism	a movement favoring new styles
modernist	a supporter of modern styles
modernistic	having a very modern style
modernity	the quality of being modern
modernization	the process of updating something
modernize	to make more modern
modernized	made more modern
modest	not boastful or excessive
modestly	in a humble simple way
modesty	humility about oneself
modicum	a small amount
modifiable	able to be changed
modification	a small change
modified	changed slightly
modifier	something that changes another
modify	to change slightly
modish	fashionable at the moment
mods	stylish young people or changes
modular	made of separate parts
modulate	to adjust or vary
modulated	adjusted in tone or level
modulation	the act of adjusting something
module	a separate self-contained part
modulus	a fixed measure or value
mogul	a powerful important person
mohair	soft goat-hair fabric
mohawk	a center-strip hairstyle
moiety	a part of a whole
moist	slightly wet
moisten	to make slightly wet
moisture	small amounts of water
moisturize	to add moisture to skin
mojo	personal charm or magic
moke	a small donkey
mol	a unit of substance amount
mola	a large ocean sunfish
molar	relating to back teeth
molasses	a thick dark syrup
mold	a shape for forming material
molded	shaped in a form
molding	a decorative shaped strip
moldy	covered in mold
mole	a small burrowing animal
molecular	relating to molecules
molecule	the smallest substance unit
molehill	a small mound of dirt
molest	to abuse someone sexually
molestation	sexual abuse of someone
molester	a sexual abuser
moll	a gangster's girlfriend
molle	a gear attachment system
mollie	a small tropical fish
mollify	to calm someone's anger
mollusc	a soft-bodied shelled animal
mollusk	a soft-bodied shelled animal
molly	a small tropical fish
moloch	a demanding destructive force
molt	shedding skin or feathers
molten	melted by heat
molting	shedding skin or feathers
molto	very, used in music
molybdenum	a hard gray metal element
momentarily	for a very short time
momentary	lasting only a moment
momentous	very important
momentum	force gained by movement
momma	mother, informally
mommy	mother, informally
monad	a single indivisible unit
monarch	a king or queen
monarchical	relating to monarch rule
monarchist	a supporter of monarchy
monarchy	rule by a king or queen
monastery	a home for religious monks
monastic	relating to monks and monasteries
monasticism	a monk's way of life
monetary	relating to money
monetise	to earn money from something
monetization	turning into income
monetize	to earn money from something
moneyed	having a lot of money
moneylender	a profit money lender
moneymaker	a big money earner
moneymaking	profitable
monger	a dealer or trader
mongo	a very large amount
